Unnamed: 0,Player,ID,isolationFreq,transitionFreq,ball-handlerFreq,roll-manFreq,playtype-post-upFreq,spot-upFreq,hand-offFreq,cutFreq,off-screenFreq,putbacksFreq,playtype-miscFreq
31,Andre Drummond,203083,3.6,6,,13.2,27.5,1.5,,12.4,,23.3,12.6
5,Russell Westbrook,201566,12.5,23.3,35.4,,9.3,6.9,2.3,1.9,1,3,4.4
55,Thaddeus Young,201152,8.4,16.1,2.1,18.1,15.9,9.3,,15.9,1.2,8.8,3.8
63,Hassan Whiteside,202355,2.1,4,,20.8,21.9,2,,18.1,,20.5,10.3
1,Stephen Curry,201939,10,20.1,26.2,0.7,,9.1,4.7,6,14.2,1.6,7.3
48,Draymond Green,203110,5,18.5,5,12.6,8.7,19.7,1.3,9.7,2.3,7.1,10.1
26,Jimmy Butler,202710,12.3,12.1,31.7,0.9,5.7,10.6,5.5,9.2,4.9,2.7,4.4
38,Greg Monroe,202328,5.2,5.4,,10.8,33.8,6.2,,17.6,1.1,14.1,4.7
19,Karl-Anthony Towns,1626157,6.6,7.3,,24.8,17.4,11.1,,8,5.6,11.5,7.3
29,Giannis Antetokounmpo,203507,15.5,20.4,10,2.5,8.1,16.5,2.5,10.9,1.1,6,6.5
,,,8.12 ,13.32 ,11.04 ,10.44 ,14.83 ,9.29 ,1.63 ,10.97 ,3.14 ,9.86 ,7.14 
22,Anthony Davis,203076,8.7,8.1,,24.7,18.4,13,1,7.5,6.5,6.4,5.5
3,LeBron James,2544,19.1,19.5,21.6,3.6,10.6,6.7,1.9,5.7,2.1,3.6,5.8
46,Zach LaVine,203897,8.2,21.5,29.1,,,14.1,10.7,1.9,7.3,1.4,5.4
81,Dwight Howard,2730,,6.3,,9.3,30.5,,,22.2,,14.8,15.9
10,DeMarcus Cousins,202326,11.1,12.6,1.2,14.8,19.4,16.4,2.5,5.2,2.5,7,7.2
38,Greg Monroe,202328,5.2,5.4,,10.8,33.8,6.2,,17.6,1.1,14.1,4.7
42,Will Barton,203115,7.4,22.3,24,,0.8,22.6,7,4,3.2,3.3,5.4
29,Giannis Antetokounmpo,203507,15.5,20.4,10,2.5,8.1,16.5,2.5,10.9,1.1,6,6.5
290,Tyler Johnson,204020,5,11.4,27.8,,,26.8,9.5,3.8,4.4,3.5,7.9
,,,8.91 ,14.17 ,12.63 ,7.30 ,13.51 ,13.59 ,3.90 ,8.76 ,3.13 ,6.68 ,7.14 
102,Marc Gasol,201188,5.6,1.9,,22.1,40.2,10.5,,8.2,1.4,3.2,6.7
20,Brook Lopez,201572,6.6,3.7,,21.2,29.8,8.5,0.7,13.7,1.3,9.9,4.7
55,Thaddeus Young,201152,8.4,16.1,2.1,18.1,15.9,9.3,,15.9,1.2,8.8,3.8
41,Nikola Vucevic,202696,7.2,5.1,0.9,18.4,28.3,13.4,0.9,9.6,1.5,9.5,5.2
109,Robin Lopez,201577,1.5,2.5,,13,29.2,3.8,,18.6,,22.5,8.6
31,Andre Drummond,203083,3.6,6,,13.2,27.5,1.5,,12.4,,23.3,12.6
89,Jahlil Okafor,1626143,19,6.6,,13.1,32,4.6,,11.1,,8.5,4
38,Greg Monroe,202328,5.2,5.4,,10.8,33.8,6.2,,17.6,1.1,14.1,4.7
197,Kosta Koufos,201585,,7.8,,21,13.2,,,32.7,,17.1,5.6
77,Joe Johnson,2207,14.3,10.9,23.9,,12.2,23.6,1.9,,6.1,1.4,3.6
,,,7.14 ,6.60 ,2.69 ,15.09 ,26.21 ,8.14 ,0.35 ,13.98 ,1.26 ,11.83 ,5.95 
29,Giannis Antetokounmpo,203507,15.5,20.4,10,2.5,8.1,16.5,2.5,10.9,1.1,6,6.5
112,Kenneth Faried,202702,2.2,13.3,,16.2,11.5,5.2,,20.8,,21.3,9.1
79,DeAndre Jordan,201599,,7.5,,20.3,7.2,,,20.8,,17.4,25.4
38,Greg Monroe,202328,5.2,5.4,,10.8,33.8,6.2,,17.6,1.1,14.1,4.7
89,Jahlil Okafor,1626143,19,6.6,,13.1,32,4.6,,11.1,,8.5,4
158,Steven Adams,203500,,7,,24.7,7.3,,,29.4,,19.5,11.7
22,Anthony Davis,203076,8.7,8.1,,24.7,18.4,13,1,7.5,6.5,6.4,5.5
2,Kevin Durant,201142,14.9,15.1,19,5.5,8.1,11,2.2,4,14.1,1.3,4.8
192,Clint Capela,203991,,12.8,,18.5,4.4,,,29.2,,23.5,9
3,LeBron James,2544,19.1,19.5,21.6,3.6,10.6,6.7,1.9,5.7,2.1,3.6,5.8
,,,8.46 ,11.57 ,5.06 ,13.99 ,14.14 ,6.32 ,0.76 ,15.70 ,2.49 ,12.16 ,8.65 
78,Serge Ibaka,201586,1.7,12.4,,26.9,3,29.8,,10,2,6.9,6.7
40,Pau Gasol,2200,5.8,5,,21.2,20.7,20.2,,7.2,1.7,8.7,8.9
134,Blake Griffin,201933,9.4,11.1,5.7,21,21.3,13.3,,5.4,2.7,3.6,6.2
102,Marc Gasol,201188,5.6,1.9,,22.1,40.2,10.5,,8.2,1.4,3.2,6.7
20,Brook Lopez,201572,6.6,3.7,,21.2,29.8,8.5,0.7,13.7,1.3,9.9,4.7
2,Kevin Durant,201142,14.9,15.1,19,5.5,8.1,11,2.2,4,14.1,1.3,4.8
150,Luis Scola,2449,,13.6,,18.4,15.5,29.4,,7.8,,8.2,5.1
19,Karl-Anthony Towns,1626157,6.6,7.3,,24.8,17.4,11.1,,8,5.6,11.5,7.3
0,James Harden,201935,24.2,21,25.9,,4.8,8.2,3.7,1.7,3.4,1.2,5.6
74,Derrick Favors,202324,2.5,3.6,,22.1,22.6,10.7,,22.7,,8.6,6
,,,7.73 ,9.47 ,5.06 ,18.32 ,18.34 ,15.27 ,0.66 ,8.87 ,3.22 ,6.31 ,6.20 
2,Kevin Durant,201142,14.9,15.1,19,5.5,8.1,11,2.2,4,14.1,1.3,4.8
0,James Harden,201935,24.2,21,25.9,,4.8,8.2,3.7,1.7,3.4,1.2,5.6
1,Stephen Curry,201939,10,20.1,26.2,0.7,,9.1,4.7,6,14.2,1.6,7.3
61,Nicolas Batum,201587,9.3,10.6,22.7,,5,13.3,12.1,2.4,16,2.2,5.9
14,Kyle Lowry,200768,9.8,16.8,35.7,0.7,1.8,15.7,5.5,0.7,6.1,1.2,6
83,Mirza Teletovic,203141,2.9,13.7,1.3,8.9,13.5,32.5,4.7,2,12.1,4,4.4
28,Dirk Nowitzki,1717,4.6,4.6,,18.6,29.6,22.2,0.8,3.2,8.6,2.7,4.6
147,Eric Gordon,201569,6.9,16.2,26.4,,,27.6,6.6,1.5,11.1,,2.8
11,Kemba Walker,202689,7.7,13.8,46.7,,,14,6,2,3.3,1.3,5.3
48,Draymond Green,203110,5,18.5,5,12.6,8.7,19.7,1.3,9.7,2.3,7.1,10.1
,,,9.53 ,15.04 ,20.89 ,4.70 ,7.15 ,17.33 ,4.76 ,3.32 ,9.12 ,2.26 ,5.68 
4,Damian Lillard,203081,17.2,10.5,43,,,8,6.6,3.1,5.6,0.9,4.9
6,Paul George,202331,14,16.2,21.2,1.1,3.4,11.2,5.3,3.7,16,2,5.9
13,CJ McCollum,203468,11.4,13.1,37.4,,,14.8,7.8,2.2,8,1.2,3.7
124,Ersan Ilyasova,101141,,14.5,,13.4,4.4,33.9,1.6,6.7,6.4,12.9,4.9
44,Avery Bradley,202340,3.9,20,13.5,,,20.3,17.2,4.6,14.6,1.9,3.9
34,Kevin Love,201567,3.3,9,,15.3,24.6,26.3,1.5,4.3,4.6,5.6,5.2
190,Jose Calderon,101181,2.2,10.2,38.1,,,23,7.7,2.9,7.7,,7.5
24,Khris Middleton,203114,11.1,13.6,18,1.7,8.1,16.4,10.3,2.1,11.8,1.3,5.5
1,Stephen Curry,201939,10,20.1,26.2,0.7,,9.1,4.7,6,14.2,1.6,7.3
37,Evan Fournier,203095,5.1,16,21.8,,,24.8,8.6,4.5,12.6,1.5,4.4
,,,7.82 ,14.32 ,21.92 ,3.22 ,4.05 ,18.78 ,7.13 ,4.01 ,10.15 ,2.89 ,5.32 
41,Nikola Vucevic,202696,7.2,5.1,0.9,18.4,28.3,13.4,0.9,9.6,1.5,9.5,5.2
2,Kevin Durant,201142,14.9,15.1,19,5.5,8.1,11,2.2,4,14.1,1.3,4.8
16,Carmelo Anthony,2546,23.7,8.1,13.1,1.7,22.2,11.5,2.6,3.1,4,4.2,5.7
23,Chris Paul,101108,15.2,12.9,51.9,,1.4,6.2,3.3,,0.9,1,6.5
28,Dirk Nowitzki,1717,4.6,4.6,,18.6,29.6,22.2,0.8,3.2,8.6,2.7,4.6
5,Russell Westbrook,201566,12.5,23.3,35.4,,9.3,6.9,2.3,1.9,1,3,4.4
76,Chris Bosh,2547,13.4,4.6,1.1,24.4,8.6,27,1.2,4.6,7.5,3,4.7
17,John Wall,202322,11.2,23.5,40.2,,0.9,12.8,2.5,0.9,1.6,1,5.4
12,Andrew Wiggins,203952,10.2,11.7,18.9,2.8,12,9.9,6.7,5.5,14.5,4.4,3.3
7,DeMar DeRozan,201942,16.1,7.9,32.4,,8.5,10.6,4.2,1.6,13.6,1.2,3.8
,,,12.90 ,11.68 ,21.29 ,7.14 ,12.89 ,13.15 ,2.67 ,3.44 ,6.73 ,3.13 ,4.84 
9,Klay Thompson,202691,5,17.5,7.1,0.9,3.7,17,3.6,8.4,31,1.2,4.5
1,Stephen Curry,201939,10,20.1,26.2,0.7,,9.1,4.7,6,14.2,1.6,7.3
133,CJ Miles,101139,2.6,20.4,7.1,2.5,,29.1,10.5,,18.7,2.4,5
80,Wesley Matthews,202083,5.8,10.9,9.2,1.3,9.9,36.2,6.6,2.7,11.9,1.1,4.4
71,Trevor Ariza,2772,3.8,24,7.1,1.3,,40.3,3.9,3.5,8.4,3.1,4.3
147,Eric Gordon,201569,6.9,16.2,26.4,,,27.6,6.6,1.5,11.1,,2.8
37,Evan Fournier,203095,5.1,16,21.8,,,24.8,8.6,4.5,12.6,1.5,4.4
44,Avery Bradley,202340,3.9,20,13.5,,,20.3,17.2,4.6,14.6,1.9,3.9
72,Brandon Knight,202688,10.4,12.9,42.7,,,14,7.4,2.4,5.1,1,3.9
,,,5.94 ,17.56 ,17.90 ,0.74 ,1.51 ,24.27 ,7.68 ,3.73 ,14.18 ,1.53 ,4.50 
28,Dirk Nowitzki,1717,4.6,4.6,,18.6,29.6,22.2,0.8,3.2,8.6,2.7,4.6
24,Khris Middleton,203114,11.1,13.6,18,1.7,8.1,16.4,10.3,2.1,11.8,1.3,5.5
16,Carmelo Anthony,2546,23.7,8.1,13.1,1.7,22.2,11.5,2.6,3.1,4,4.2,5.7
7,DeMar DeRozan,201942,16.1,7.9,32.4,,8.5,10.6,4.2,1.6,13.6,1.2,3.8
94,Arron Afflalo,201167,8.8,13.2,8,,16.9,23.4,7,3.3,14.9,,3.2
41,Nikola Vucevic,202696,7.2,5.1,0.9,18.4,28.3,13.4,0.9,9.6,1.5,9.5,5.2
30,LaMarcus Aldridge,200746,1.2,4.8,,20.2,33.7,15.6,,9,2.7,9.8,2.4
102,Marc Gasol,201188,5.6,1.9,,22.1,40.2,10.5,,8.2,1.4,3.2,6.7
26,Jimmy Butler,202710,12.3,12.1,31.7,0.9,5.7,10.6,5.5,9.2,4.9,2.7,4.4
,,,10.07 ,7.92 ,11.57 ,9.29 ,21.47 ,14.91 ,3.48 ,5.48 ,7.04 ,3.84 ,4.61 
3,LeBron James,2544,19.1,19.5,21.6,3.6,10.6,6.7,1.9,5.7,2.1,3.6,5.8
81,Dwight Howard,2730,,6.3,,9.3,30.5,,,22.2,,14.8,15.9
112,Kenneth Faried,202702,2.2,13.3,,16.2,11.5,5.2,,20.8,,21.3,9.1
17,John Wall,202322,11.2,23.5,40.2,,0.9,12.8,2.5,0.9,1.6,1,5.4
175,Jeremy Lamb,203087,6.9,11.9,24.3,,,18.8,5.9,8,15.9,4.7,2.8
76,Chris Bosh,2547,13.4,4.6,1.1,24.4,8.6,27,1.2,4.6,7.5,3,4.7
101,Shabazz Muhammad,203498,5.2,20.2,6.9,,9.9,20.7,4.2,9.1,10.5,9.4,3.8
10,DeMarcus Cousins,202326,11.1,12.6,1.2,14.8,19.4,16.4,2.5,5.2,2.5,7,7.2
57,Derrick Rose,201565,9.7,14.6,43.5,,,16.7,3.6,3.5,1.3,2.2,4.4
,,,8.76 ,14.06 ,15.42 ,7.59 ,10.16 ,13.81 ,2.42 ,8.89 ,4.60 ,7.44 ,6.57 
42,Will Barton,203115,7.4,22.3,24,,0.8,22.6,7,4,3.2,3.3,5.4
83,Mirza Teletovic,203141,2.9,13.7,1.3,8.9,13.5,32.5,4.7,2,12.1,4,4.4
148,Trey Burke,203504,6.8,12.2,34.7,,,24.1,13.4,,3.3,,4
54,Kentavious Caldwell-Pope,203484,5,22.2,22.4,,,25.5,5.2,3.2,8.1,3.4,4.7
258,Anthony Morrow,201627,5,16,4.4,,,46.1,6.4,3,11.6,,4.4
14,Kyle Lowry,200768,9.8,16.8,35.7,0.7,1.8,15.7,5.5,0.7,6.1,1.2,6
1,Stephen Curry,201939,10,20.1,26.2,0.7,,9.1,4.7,6,14.2,1.6,7.3
172,Marcus Thornton,201977,4.6,18.4,21.4,,,26.6,6.6,4.4,7.8,3.4,5.8
13,CJ McCollum,203468,11.4,13.1,37.4,,,14.8,7.8,2.2,8,1.2,3.7
,,,6.99 ,17.20 ,23.06 ,1.14 ,1.79 ,24.11 ,6.81 ,2.83 ,8.27 ,2.01 ,5.08 
